	driver_id	comment
0	469bbb0b9b7883f9df5924326d868d50	Суперски водитель... 
1	eea9eef46e30e047fac89fb588b42c02	Спасибо, очень хороший водитель?❤️
2	c7f380a4308244b78f07f8bced7aed79	Все отлично, спасибо))
3	0a9aafacf2231ba680487c1d885eed26	Очень добрый и отзывчивый водитель ,огромное Ему спасибо!!!
4	c2dfc45d882f078434f10dac5ddac4be	Максимально приятный собеседник
5	90916f1ba0aad7dcd8b6aeab61e32318	просто водитель красавчик молодец хороший пацан
6	c1f9137add9482e867bd1d9a1204933a	Все очень хорошо 
7	1403b45cb849a3d632cd133d816a3e5b	классный водитель
8	36a3f8cf19069195cf125024a8193094	Запах в машине ,комфорт плюс )
9	08b05c6911b4cf003f6525dd1dc7fe4f	очень приятный водитель, в маске и перчатках, спасибо ситимобил с любовью от клиента)
10	bc992f1ef9546d6bfbeab648219f6fdd	Водителям остановился и ждал на проезжей части, сразу после перекрёстка
11	f8e871e3e342f6dd2d5ecb68a17a40a7	Долго ждал машину.
12	8493256440c899387e02f6e103fdac73	Безумно приятное общение с незнакомцем☺️
13	eb607b06b056d7dd5cf49c9dda834526	Водитель встал за несколько домов от точки вызова и не двигался более 10 минут. После трех звонков подъехал. Я опоздала на работу. Прошу вернуть деньги за поездку
14	f1a6948e2e997115df53b1c119272433	Все вышеперечисленное
15	09a64ea076f0e441b32ad947f81fdf13	просто у меня хорошая настроение жунбаш
16	b12b72d3200b276612416f0902dfbfb9	Классная машина..
17	949f6b43f469b9f775f9336abd803239	хороший водитель
18	476d369a556564b1df710bcfea33ba01	Уверенное вождение.
19	faaa8c016b37f86a52757e290097c1d3	красавчик Бро
20	d70a14d68fd0b1cb23004d24c9c52212	1) громко играла музыка
21	cd772e4b365b65390e6ddbc5266fe422	грубоватый
22	ea05ee34f990390153aace2abfb8d5a6	Водитель приехал, оказалось, что ему мешает шлагбаум. Исходя из моего опыта поездок в такси, порядочный водитель с хорошим рейтингом в таком случае пишет в чат/звонит пассажиру, чтобы узнать есть ли возможность проехать через шлагбаум, или предупреждает о нем, о платном ожидании и тд, а не стоит и ждёт, пока ему за это ожидание капнет копейка
23	77555326972d309164eede16761d6129	Водитель подъехал не туда, в итоге пока нашлись, включилось платное ожидание. И по маршруту планировал везти странному, не так, как в приложении было, в итоге по ходу корректировать пришлось. Коэффициент на стоимость поездки высокий, а уровень ужасный
24	26f7099e55659d7c5c4ae0b1ccce890d	отличный
25	472c1b611e8433cadc8f8199c4238d55	В очередной раз спасибо за хорошее настроение и безопасную поездку. ИДЕАЛЬНЫЙ ВОДИТЕЛЬ!!! 
26	22a16c1c36c4046522fbb605f83cccca	не нужно придумывать новые маршруты, час потерян в собирании пробок по Москве
27	47094017cb2c7c6a214008bdc6e799f9	Водитель проехал мимо и начал поездку. Пришлось вызывать другое такси. 
28	ba43db395d17271c2cb5510af99f1f4f	супер 
29	9ef19ea9f61e93d6062d3b645780e982	Побольше бы таких водителей!!!
30	3b587a9e28d7ad8731151ed66e7ff5d8	Очень понравилось 
31	a86a4a3c447c5f6e2cba0ad6fffbd5f8	Холодно в машине
32	2bb4038d5187fd2b59cab6c2b063a206	Чтобы водитель был менее разговорчив
33	9ff8de9eb9325dcb6212b77bb2e55463	Спасибо) 
34	19a4eed808870c117b39fa42e5bbf187	Отвратительно долгая подача! Опоздала на работу. 
35	4f507edfa3cc24aceebec59602c28ec3	Опаздала на электричку водительотказался везти в Домодедово 
36	e06ee14979a06370839cc715453d93d9	После 5 мин платного ожидания собрался уезжать(((
37	762cd9f09b6eaf1a914c93c00c5eb070	идеальное водител
38	04e3206c434479767c8c0a8040854494	Ехали вдвоем с мамой, сначала печка грела на максимум. попросил водителя сделать печку чуть тише, он ее выключил и приоткрыл окно, из которого маме продуло шею.
39	ed074901be9a56335d6631c68e5926fa	удачи на дорогах!
40	dfb2ab1b981572a68178e59d22156d5c	идеальный водитель
41	2904b79b7dcc3d933894257b4358e2e4	Запугивал ребёнка, говорил что если бы попался плохой водитель, то его бы не спас никто, что родителям наплевать на него, в разговоре по телефону разговаривал на «ты»
42	5dcef9838d8d2114cb316cb58e2cae35	долгий путь водител ошибается навигатере 
43	44cc2eaf670a215a322c4e1fe1a452dc	Спасибо успел на автобус!
44	ec45030072f95e6b5cc730fec1f19d01	Заказываю машину на остановку автобуса, по варшавскому шоссе, водитель сознательно заезжает на дублер, до которого ещё нужно как то дойти через сугробы и проезжвющие машины, так как переходный переход в 300 метрах 
45	1377e5242a214d721d91aa73f24c94d2	мало того что меня высадили не в том месте, так и стоимость завышена? ничего не смущает что идти 20 минут, а стоит 383р???
46	3157159f49f0a6b4f774574593785f33	Водитель ожидал не по указанному адресу, а после вежливого объяснения с моей стороны, где я ожидала его, перешёл на повышенный тон, и игнорируя многочисленные просьбы закончить разговор, ругался всю дорогу
47	3496be292d85a33f0ad27418fb5ee322	Если я ставлю что у меня оплата за наличные , то наверное логично , что картой я оплатить не могу и у водителя должна быть сдача . 
48	947beb4a3879ccc327bbcb2073490346	отлично
49	311ac9352166fb9b2f9153581b03ab5b	Водитель был БЕЗ МАСКИ, РАЗГОВАРИВАЛ ПО ТЕЛЕФОНУ. После того, как связь у него пропала, он общался сообщениями в вацапе! Я уже была вынуждена попросить его этого НЕ ДЕЛАТЬ!
50	d667ea69ab43bcc8ab24d9a42947fbdf	возил дворами, где долго стояли, по итогу опоздал на работу. 
51	c36369ae503c4a769251a61883739d27	сиденье в шерсти, коврик полный воды, в итоге замерзла, водителя мало волнует комфорт пассажира, грубоватая манера разговора. я понимаю, что эконом, но все же. 
52	ecc631cad4bd3da8c8348970aa5ac8c1	очень аккуратный таксист
53	f35b0d5c6221ef43cbbf14f43dd44d57	Человек не умеет пользоваться навигатором, ехали на 20 дольше, чем самый быстрый путь, более того пропустив поворот отказался ехать до поставленной точки, сославшись на то что нужно делать круг! Разворовал по телефону. 
54	6766774bb30c8e4dd7a22c909cab70d2	выписали чек 8рублей за небольшую сумку которую взял в салон, богажником я не пользовался, а сумка в самолёте проходит как ручная кладь. за что выписали чек на 8₽?
55	b0c15e0be005164c6695a3520f066ac1	Заказ был на сумму 367 р мне надо был ехать 7 км а я ехала 700 метров от дома у меня брали 407 р что за машинки тут а в Яндексе нету такого 
56	26caebfb0201155ec90f8682fc8a2d11	Водителю следует почистить зубы, либо позавтракать, или хотя бы выпить кофе. 
57	50ec10d27875f57429ea9c2e10ee0e6f	Бактыбек отличный водитель на отличной машине! Такие должны зарабатывать больше, имхо
58	ba223af6bc52e6f2be8f62b8e97a5d15	впервые встречаю настолько чистую и ухоженную внутри машину. Водитель аккуратный, ненавязчивый! хотелось бы больше таких!!! спасибо!
59	c58bf75c6400bceabbe017f35b2713de	Водитель теряется приехал не по адресу включил ожидание не доехав до места 
60	2b022dec0f2c01ae7718f66a97b61e51	Водитель забрал не в указанной точке
61	66d054b8c2124b75c7d25a04493426bd	Самое ужасное приложение такси !!!!    
62	3f93f5690303645bf53899a0cd959ee6	Прекрасный, бесконфликтный водитель! Дружелюбный и осторожный 
63	3d5f207c5edcff3f4bdff23b719af022	Я не ехала на этом такси, он увёз видимо кого-то другого. Верните деньги! 
64	778f9d86548e5cf8c79422d5f7824d5a	Ждала такси более 10 мин,хотя при заказе было 3 мин
65	e2d8322f68f8df3580c68456e7213c5f	?
66	943b18543e17611cf5c377e31d4901bf	Почему я должен платить за ожидание если водитель приехал не по адресу который я указал? Мне пришлось идти до него пешком 
67	db09022b036bccd57b1e8c787f73424c	Очень хороший водитель 
68	2b433ada6b1585c2fa3a509d16400842	Неприятный запах в машине 
69	be5ec444ffc39c635f0aa0351687ad9a	посадка в автомобиль повышенной комфортности, в ледяной салон, проехав 30 минут, очень замерзла...
70	8af50fdc911942121cbf30e289615dc8	Очень приятный и отзывчивый водитель!
71	8bb496e5a1d7a774578f9a7fdf1b302e	Маршрут поездки не по навигатору и непонятному маршруту
72	56180496aac8aebac3c7eaa8fc092ba1	Быстро и комфортно доехали. Спасибо!)
73	3bff8bd4c85c48956dd31b4027b1aba6	Супер
74	44a8809b24cbffa4e8fe719bbcacec84	кллас
75	d1d600e96834408c54b5b203032b4646	Спасибо большое водителю за комфортную поездку 
76	35468475e0cc5569a637234906389550	Водитель все время  нарывался поговорить это меня не устраивало! Да ещё без маски .в  первый раз такое вижу . 
77	9ff8de9eb9325dcb6212b77bb2e55463	Приятный водитель, спасибо! 
78	5e76b32d3804194cd268b02372f1f219	супер
79	16a8edb90264216855fef5ea4b531243	+открытое окно и амикашенство
80	a96403439d32c57d4b71a44dbd4e9576	Идеальный Водитель! 
81	81cb07a422c4166d4bc7bef0fc3e5778	пассажир вышел вовремя. Приложение два раза меняло время ожидания, увеличивало, а затем водитель раз и приехал. 
82	aba5c98dc283006fdf3c3773a5eb8614	Сильный запах бензина в машине. И водитель выбрал длинный маршрут 
83	7e2cf812553eeb224e0093e4c69f0797	луком пахло
84	aec1f36edb546dbf0f1e392eb775486d	Спасибо быстро поехал?
85	8ede888757d4cf2c95756c8422993d17	Всю поездку водитель отвлекался то на звонки, то на смс. Привез меня не туда и предложил дойти самой, так как на разворот ему понадобится слишком много времени
86	432bda5bcd9c4bec542202d6672f4e91	незнание навигатора,холодный салон,прокуреный запах.
87	14af89043a4b8aad0ae0877af68f1cc3	Ждать 15+ минут на холоде из-за того, что водитель пропустил поворот - это вышка.
88	7a561299beb4c19db3ab6569f0c4e2ae	Цитата от водителя 
89	26318be9ceb45433bc3e94969c256367	Быстро и аккуратно довез. 
90	511a29f7f06a07b746f1ca5119b8a835	Много лишних кругов проехали,увеличилось время поездки 
91	b72213fcb8a904c5c7e7bde52e653692	Красавчик капитальный ! ??
92	eff95bf9ee4eb9a3a642faa1735f492e	сдачи не отдал
93	da3df66af5808cee182e2595284d3f78	Удачи!
94	c17eb706e2ebd055be8509f2017a3605	Приятный и вежливый водитель. Спасибо!
95	8aeca8aeb576781c47cb4eaba8289a1d	не довез до места назначения(подьезда)
96	3cdc1063d8d6a095be2a2f7cdb674496	В машине была лужа
97	4f2d303e40582f85cd0b0f827a7edfe6	Очень хороший водитель,и быстро и комфортно,приятный в общении!!!ставлю твёрдую 5+++++
98	ff75b6d56d6f9d8831c42379256838cb	Отличный водитель, рекомендую. 
99	eb607b06b056d7dd5cf49c9dda834526	Водитель приехал не к назначенному месту, стояли его ждали на улице, а он стоял где то в другом месте! Пошло платное ожидание! Прошу вернуть сумму за платное ожидание!
100	77e34203280dde84ab137d387b41f506	неоправданно медленно ехали. то ли проблемы с машиной, то ли манера вождения. время в пути заняло намного больше времени чем обычно
101	7aa46740643401b338468b66f2621c16	спасибо, хорошего дня!!! 
102	e3c0cd1758360c24fc31e1060a8a8a9c	большое спасибо! замечательный водитель:)
103	a95fa871120bd3b142dc97f236faff19	супер!
104	f864fcd75d016a9b9675f475c97f2398	Спасибо! Здоровья и удачи на дорогах!
105	00ef2a42d15bd5763884d990dbe0a0d6	В машине пахнет бензином 
106	8639e64caacdac65dc8b596c53de553c	Замечательный интеллигентный водитель
107	4ce560e56bb2a2c1eec03189ec4d3451	запах в салоне и чистота салона ужасные
108	0ab86df777cbfda50ae676b9280d7a49	??
109	fe0ea94c759ef435e0b887aa06880a5a	немножко укачало, 
110	a5bd7316aec47f95baf4460c27b1ee96	всё отлично
111	6bb2dac04de17441d4066fe055ddb831	водила очень классный
112	52ba11f04ac3913a2439e62107a58a31	неаккуратное вождение, всю дорогу смотрел в телефон, изредка поглядывая на дорогу, ехать было некомфортно.  
113	0ff3b5dd094e2ad6c72381763868d2cd	Водитель ехал с наушниками в ушах.
114	1c5e5b7e59cc69208abeba4e37bb0422	Замечательный водитель, коммуникабельный, вежливый
115	2c96c826a7136c6b1674946c70dc4ac8	почему списали еще плюс 32 рубля по итогу? плюс к основной стоимости 
116	823294f1fbd4b0a1a5dcfc8776732147	Почему стоимость возросла! Водитель не мог найти адрес! 
117	70bde58bd9afc4d81f829af5fa3e27b4	Быстро и качественно, спасибо!
118	0513cf71e9f6ad8995fc2860d8ae90d4	очень приятный мужчина
119	6b3e4ea6b7c97c4a254dbc0a08da7916	очень грязный салон,  не понимает навигатор, 
120	37dc6ad9ee5eeb9e6a5f771d7c836ccb	Все
121	a702384f3b3379ad32fe11fef615683d	Неадекватный водитель, не может нормально общаться и понять куда нужно подъехать и где остановиться. Не помог девушке с багажом. Сидит в телефоне во время движения 
122	695aed9cfc8a100e8f2e4a2d2a219b5c	Отлично!
123	9e096052eefc8a6b2b7f9cc24a6b9643	Всё хорошо 
124	e5264e11eb706da80027ed5a2426feb1	Очень приятный водитель! 
125	15758d8f49926bf5278723ebf9852a8b	спосибо
126	0d983ca05e0dddb542dea23341c0ebfe	по приложению показывало бесплатное ожидание. А в итоге сняли за ожидание. Сумма хоть и мелкая, но ситуация неприятная.
127	c94d0878761862993ae29944411c2c30	Отличный водитель
128	0a227ac8d702170c03acf36d55e60d0d	в машине очень грязно
129	231fd8114fcee45e3edd188885bb84ed	Маршрут не оптимальный
130	ecd49e54b91307d3f5bd9536c74afe5e	Салон машины был грязным
131	a89b699abee58205f6dba8553cf24bbd	мерзкий водитель, не захотел поворачивать к дому, после завернул и сказал * молодые пройти 10 метров не можете,повышал тон при моей девушки, ему повезло иначе объяснил бы в другой форме как нужно общаться и вести конструктивный диалог с людьми* 
132	d7162e6c07b16649046aaea3c75e8935	Все отлично)
133	4e195ef420510a6f3c77edd4e79fc26f	Отличный водитель.
134	89cbf42619449aaf7f788a000ba82d28	 добрый и хороший водитель 
135	33c5bfe6723f32f90615fbd91086948c	запах в салоне
136	5aa84c926597717a1c06cb07122a1b30	Спасибо брат
137	800a61f93aa90eb4b1286ddda3631204	Лучший водитель! Побольше бы таких
138	01822837e1194de92de6ea45ba198f86	Очень долго не мог найти подъезд 
139	53791e5624eb4a52a6e19af30f1d4d5e	Мои наилучшие рекомендации.
140	eb896c17a6ab8371fbe6a59362af8d81	Очень комфортная поездка. Водитель никуда не торопился и не заставлял нервничать от резких маневров.
141	508bac9d37fb81a32a8edbec9833a2d3	Отличный водитель 
142	597a3010e5c8dbefb478347af142c206	??
143	1d4f831282abd5c7a4e1be5fa9ea8438	Проехал на кирпич по встрече, было очень страшно. 
144	1fd831876772cd1681161b4966bf7bd5	всё хорошо
145	85a6d0889ca957fe10e416c753448e7d	водитель приехал не туда,пришлось долго объяснять
146	27c7d1d05a0c183873f2ae5d8de52c92	Отличный водитель!
147	bcc05d270e87f070b8225d593c630219	Не внимательный водитель
148	f03a873684157935e99126155a9a533a	Водитель без мааски. Машина грязная, чехлы на сиденьи грязные, все в потеках, разводах, пятнах,страшно садиться, как будто там кого то толи стошнило и замыли как попало, толи ели и накидали, толи тзвините еще чтото.... В салоне извините, но воняет. Сзади на стелке  торчит куртка  полусвисая на сиденья, двери изнутри в потеках. Обясняла что стою напротив дома прям на дороге, 
149	ba223af6bc52e6f2be8f62b8e97a5d15	Водитель грыз семечки за рулём , и в конце поездки спросил (Где он??) как оказалось имел ввиду какой подъезд .
150	42e4f4bf7448a2af3348d406592e51c0	Ребят это уже за рамками. Мало того что вы в одностороннем порядке отменяете заказы которые ко времени так ещё и сегодня приехал водитель, ждал машину не по указанному адресу а в 300 метрах, еле нашли. Тащился как черепаха, кашлял. Это по вашему комфорт???  За что я плачу вообще? Плюс ещё сеяли за ожидание!!!!
151	7844f22cb75bd9c5e7044d1aea0be517	водитель хам
152	9cb08ec1decbb24e23a0f31b3dad029a	Хам
153	9f5d5a69f7e966c576cadc0d1443bba8	Спасибо за маску!
154	4ad176430316f7a23287922184e5e479	Списание за ожидание, которого не было 
155	3d68c68cca9a0f36c51133586f35678d	Привёз не туда, выгнал из машины! В машине воняет, дышать нечем 
156	f889cf54bd837d44b7c9d9a6b30369f0	отличный водитель
157	9e13ede44cae145470218044eb21f6c5	Очень хороший водитель! Спасибо большое! 
158	23055106c40339c41e3befa37d6fad9f	Ездил кругами
159	604a7dee939725d54c2f5921a604a8b3	аккуратно
160	c36ff5e1d293cc668f0ffee5c20c8d92	Самый классный водитель, который мне встречался!
